wss,dist_border_1,dist_border_2,dist_border_3,temperature,rainfall,hhi,n_sub,dist_mag_km,treated_1,cons_po,users_fix,cons_fix,cons_pf,cons_phcut1,cons_phcut5,cons_phcut10,cons_ph,year_start,type_org,loc_org,typeorg1,typeorg2,typeorg3,typeorg4,typeorg5,bill_ph,pobl_urb,pobl_tot,indrural,areaoficialkm2,altura,dismdo,nbi,IPM,TMI,tacued,taseo,talcan,y_corr_usd
885,22.780603,55.065456,55.065456,28.5625,422.565,.54879415,.96490848,55.339706,1,27.818701,10051.063,279400.56,27.818701,27.818701,27.818701,27.818701,27.818701,10,4,1,0,0,0,1,0,.46448904,66042.75,71300.375,.073748127,196,180,90.414413,49.623444,62.975281,24.665257,54.731251,54.731251,0,4.6451492
890,695.21448,695.21448,1007.1023,25.916666,530.59912,.042732947,1,732.36987,0,20.630339,91.25,1882.8334,20.630339,20.630339,20.630339,20.630339,20.630339,18,2,1,0,1,0,0,0,1.0371466,147.41667,981.33331,.84978271,6619,180,662.07977,82.068962,89.950737,43.46529,47.399166,40.144165,38.911667,1.0887525
910,1.8298476,1.8298476,289.65643,12.428572,254.31429,.41769648,1,133.29849,0,19.226101,287.07144,5525.5713,19.226101,19.226101,19.226101,19.226101,19.226101,10,2,1,0,1,0,0,0,.11860722,491.42856,2949.7144,.83339757,57,1980,106.58238,34.049931,57.42025,14.035893,2.682143,2.682143,2.682143,.38053989
922,14.72401,14.72401,528.18756,28.181818,161.58182,.42246547,1,18.993067,0,32.614746,1173.0909,38260,32.614746,32.614746,32.614746,32.614746,32.614746,10,1,1,1,0,0,0,0,.15598302,5009.4546,9566.6367,.47636691,737,730,38.686466,100,61.501148,14.262729,59.250908,59.250908,59.250908,.90677512
924,12.577802,12.577802,286.67136,12.3125,114.83813,.55477774,.99909854,147.46284,1,18.736971,3240.4375,59928.188,18.736971,18.736971,18.736971,18.736971,18.736971,9,4,1,0,0,0,1,0,.20859927,13559.875,16915.25,.19836953,210,1705,113.46439,23.062021,47.310398,14.289506,99.949997,84.8675,84.8675,1.3030086
930,13.424515,13.424515,315.84995,12.636364,92.907997,.49401838,1,200.92039,0,36.294022,2941.4546,106643.09,36.294022,36.294022,36.294022,35.563229,36.294022,9,4,1,0,0,0,1,0,.17351423,12305.909,14615.728,.15805142,759,500,113.04713,27.23864,49.98661,21.908167,97.075455,77.240906,77.240906,8.6224785
939,19.159195,19.159195,180.46016,17.916666,192.4425,.16426812,1,163.31323,1,23.711287,471.58334,11175.167,23.711287,23.711287,23.711287,23.711287,23.711287,13,2,1,0,1,0,0,0,.1048906,1036.8334,2603.6667,.60166657,177,2370,116.61016,49.630722,66.174301,17.590635,47.939999,32.785,40.993332,.57117677
944,8.3739471,8.3739471,271.96509,12.3125,114.83813,.53585517,.98879862,118.98644,0,23.997034,1148,27522,23.997034,23.997034,23.997034,23.997034,23.997034,12,2,1,0,1,0,0,0,.095111281,6421.875,19452.875,.66988063,235,2715,114.08795,25.851322,67.629341,14.199084,41.622501,10.86375,10.4475,1.5656204
949,22.818777,22.818777,220.25278,19.25,339.15314,.15733781,.97752565,73.543274,1,24.009888,72.125,1731.75,24.009888,24.009888,24.009888,24.009888,24.009888,14,2,0,0,1,0,0,0,.20006403,372.625,1821.5,.79544163,54,1500,149.56685,22.672577,67.827744,14.938501,60.897499,19.091249,19.091249,.32061005
952,51.86087,20.564859,32.65094,25.866667,303.64932,.417871,1,15.870574,1,28.036137,3464.8667,97115.07,28.036137,28.036137,28.036137,28.036137,28.036137,-1,3,1,0,0,1,0,0,.23381945,21688.334,41157,.47317991,2360,50,142.04086,55.425064,76.287117,18.219393,79.090668,79.090668,79.090668,1.3127091
953,727.04175,767.35107,767.35107,28,263.72357,.62685752,.93585217,778.08661,0,10.128814,3753.3999,38011.602,10.128814,10.128814,10.128814,10.128814,10.128814,9,4,1,0,0,0,1,0,,52298.867,70727,.26055357,24,300,769.35406,42.452797,37.181709,14.325111,100,100,100,5.8339567
956,46.980099,46.980099,627.29364,23.533333,187.08533,.51782382,1,16.857483,0,27.970795,808.66669,22592.934,27.970795,27.970795,27.970795,27.970795,27.970795,7,4,1,0,0,0,1,0,.12846564,2395,5533.2002,.56717479,340,866,80.024673,38.440704,65.447861,21.499722,82.248001,82.248001,82.248001,.60927069
957,7.6795597,7.6795597,569.22064,20.799999,222.91667,.48643348,1,28.484468,0,21.132231,878.13336,18557.334,21.132231,21.132231,21.132231,21.132231,21.132231,7,4,1,0,0,0,1,0,.15308589,3175.3999,11263.4,.7180832,378,1315,36.483208,42.015152,76.43412,16.645348,45.916,32.088001,31.275999,.65888244
959,83.721466,83.721466,664.2276,21,110.42923,.38182068,.97874945,1.2098682,0,37.932156,1384.3334,52527.066,37.932156,37.932156,37.932156,37.932156,37.932156,7,4,1,0,0,0,1,0,.090549842,4983.6001,17471.4,.71476197,347,826,118.21944,40.847904,72.336143,21.889132,66.470001,31.948,35.740002,.68550748
961,3.8055551,3.8055551,76.305626,28.75,436.40375,.72211748,.83606291,2.7277517,1,36.654606,53479.438,1960065,36.654606,36.654606,36.654606,36.654606,36.654606,9,4,1,0,0,0,1,0,.25427124,173372.38,191773,.09595003,1274,75,80.696594,22.326223,43.304562,13.758761,100,78.092499,76.989998,81.537903
